texte,sentiment
Le marché réagit positivement à la publication.,positif
Le marché réagit positivement à la publication.,positif
Le marché réagit positivement à la publication.,positif
"Le prix passe de 25.47€ à 33.86€, marquant une hausse notable.",positif
"Le prix passe de 20.53€ à 30.16€, marquant une hausse notable.",positif
Belle performance avec une hausse de 8.65 points.,positif
L'indice termine la séance sur une note positive.,positif
L'action progresse de 0.52%.,positif
Le titre gagne 0.52 euros.,positif
Les actions grimpent suite à l'annonce.,positif
Les actions grimpent suite à l'annonce.,positif
La valeur clôture en forte hausse.,positif
Le titre gagne 7.83 euros.,positif
La valeur clôture en forte hausse.,positif
Le titre gagne 5.65 euros.,positif
L'indice termine la séance sur une note positive.,positif
La valeur clôture en forte hausse.,positif
Le cours augmente après de bonnes nouvelles.,positif
L'indice termine la séance sur une note positive.,positif
Le titre gagne 9.15 euros.,positif
Le titre gagne 5.58 euros.,positif
Le titre gagne 2.74 euros.,positif
"Le prix passe de 35.4€ à 38.73€, marquant une hausse notable.",positif
"Le prix passe de 29.04€ à 37.18€, marquant une hausse notable.",positif
L'indice termine la séance sur une note positive.,positif
Belle performance avec une hausse de 1.75 points.,positif
Belle performance avec une hausse de 7.26 points.,positif
Une augmentation de 8.55% est observée aujourd'hui.,positif
Les actions grimpent suite à l'annonce.,positif
Une augmentation de 1.43% est observée aujourd'hui.,positif
L'indice termine la séance sur une note positive.,positif
Une augmentation de 1.46% est observée aujourd'hui.,positif
Le marché réagit positivement à la publication.,positif
La valeur clôture en forte hausse.,positif
Le titre gagne 2.57 euros.,positif
L'action progresse de 7.77%.,positif
"Le prix passe de 43.83€ à 52.59€, marquant une hausse notable.",positif
La valeur clôture en forte hausse.,positif
Le marché réagit positivement à la publication.,positif
Le titre gagne 1.13 euros.,positif
Une augmentation de 7.75% est observée aujourd'hui.,positif
Les actions grimpent suite à l'annonce.,positif
Belle performance avec une hausse de 7.46 points.,positif
"Le prix passe de 32.8€ à 39.2€, marquant une hausse notable.",positif
Belle performance avec une hausse de 6.68 points.,positif
La valeur clôture en forte hausse.,positif
Le cours augmente après de bonnes nouvelles.,positif
Belle performance avec une hausse de 5.93 points.,positif
"Le prix passe de 20.64€ à 25.17€, marquant une hausse notable.",positif
Le marché réagit positivement à la publication.,positif
Une augmentation de 3.03% est observée aujourd'hui.,positif
Le marché réagit positivement à la publication.,positif
L'indice termine la séance sur une note positive.,positif
"Le prix passe de 41.33€ à 49.36€, marquant une hausse notable.",positif
L'action progresse de 0.83%.,positif
Belle performance avec une hausse de 7.41 points.,positif
L'indice termine la séance sur une note positive.,positif
Les actions grimpent suite à l'annonce.,positif
L'action progresse de 5.45%.,positif
Belle performance avec une hausse de 0.93 points.,positif
L'indice termine la séance sur une note positive.,positif
Le marché réagit positivement à la publication.,positif
Le marché réagit positivement à la publication.,positif
L'action progresse de 9.64%.,positif
La valeur clôture en forte hausse.,positif
La valeur clôture en forte hausse.,positif
"Le prix passe de 40.42€ à 48.75€, marquant une hausse notable.",positif
"Le prix passe de 28.44€ à 32.69€, marquant une hausse notable.",positif
Le titre gagne 2.9 euros.,positif
Une augmentation de 5.2% est observée aujourd'hui.,positif
La valeur clôture en forte hausse.,positif
Une augmentation de 8.41% est observée aujourd'hui.,positif
Le titre gagne 7.59 euros.,positif
Une augmentation de 7.68% est observée aujourd'hui.,positif
Le titre gagne 6.54 euros.,positif
L'indice termine la séance sur une note positive.,positif
La valeur clôture en forte hausse.,positif
"Le prix passe de 33.4€ à 40.84€, marquant une hausse notable.",positif
Une augmentation de 2.76% est observée aujourd'hui.,positif
Le titre gagne 0.83 euros.,positif
Le cours augmente après de bonnes nouvelles.,positif
Le marché réagit positivement à la publication.,positif
Le cours augmente après de bonnes nouvelles.,positif
Les actions grimpent suite à l'annonce.,positif
"Le prix passe de 40.69€ à 45.45€, marquant une hausse notable.",positif
Le cours augmente après de bonnes nouvelles.,positif
L'indice termine la séance sur une note positive.,positif
Le marché réagit positivement à la publication.,positif
Le marché réagit positivement à la publication.,positif
Le titre gagne 2.42 euros.,positif
Le cours augmente après de bonnes nouvelles.,positif
"Le prix passe de 18.97€ à 23.81€, marquant une hausse notable.",positif
Le titre gagne 9.04 euros.,positif
Les actions grimpent suite à l'annonce.,positif
La valeur clôture en forte hausse.,positif
L'action progresse de 9.1%.,positif
L'indice termine la séance sur une note positive.,positif
L'action progresse de 8.75%.,positif
L'action progresse de 5.29%.,positif
"Le prix passe de 20.45€ à 30.34€, marquant une hausse notable.",positif
La valeur clôture en forte hausse.,positif
L'indice termine la séance sur une note positive.,positif
L'action progresse de 7.61%.,positif
"Le prix passe de 25.52€ à 30.75€, marquant une hausse notable.",positif
Une augmentation de 9.26% est observée aujourd'hui.,positif
Les actions grimpent suite à l'annonce.,positif
Les actions grimpent suite à l'annonce.,positif
Les actions grimpent suite à l'annonce.,positif
Le marché réagit positivement à la publication.,positif
"Le prix passe de 27.24€ à 33.26€, marquant une hausse notable.",positif
"Le prix passe de 12.78€ à 22.7€, marquant une hausse notable.",positif
L'indice termine la séance sur une note positive.,positif
L'indice termine la séance sur une note positive.,positif
"Le prix passe de 25.88€ à 31.86€, marquant une hausse notable.",positif
Le titre gagne 7.03 euros.,positif
"Le prix passe de 12.86€ à 18.72€, marquant une hausse notable.",positif
Le marché réagit positivement à la publication.,positif
Les actions grimpent suite à l'annonce.,positif
Une augmentation de 4.68% est observée aujourd'hui.,positif
Belle performance avec une hausse de 7.84 points.,positif
"Le prix passe de 43.83€ à 45.74€, marquant une hausse notable.",positif
L'action progresse de 8.85%.,positif
Le cours augmente après de bonnes nouvelles.,positif
Le marché réagit positivement à la publication.,positif
Le marché réagit positivement à la publication.,positif
Belle performance avec une hausse de 3.21 points.,positif
Les actions grimpent suite à l'annonce.,positif
L'action progresse de 1.68%.,positif
Une augmentation de 3.67% est observée aujourd'hui.,positif
Les actions grimpent suite à l'annonce.,positif
La valeur clôture en forte hausse.,positif
Les actions grimpent suite à l'annonce.,positif
La valeur clôture en forte hausse.,positif
La valeur clôture en forte hausse.,positif
Le titre gagne 2.77 euros.,positif
"Le prix passe de 45.15€ à 51.65€, marquant une hausse notable.",positif
Le marché réagit positivement à la publication.,positif
L'indice termine la séance sur une note positive.,positif
Le marché réagit positivement à la publication.,positif
Belle performance avec une hausse de 4.11 points.,positif
L'action progresse de 1.89%.,positif
Le cours augmente après de bonnes nouvelles.,positif
Les actions grimpent suite à l'annonce.,positif
Le cours baisse de 7.39 euros.,negatif
Le marché clôture en baisse.,negatif
Les actions reculent suite aux inquiétudes.,negatif
"Le prix passe de 63.4€ à 60.29€, une baisse significative.",negatif
Le secteur est dans le rouge.,negatif
"Le prix passe de 80.63€ à 74.56€, une baisse significative.",negatif
Le recul atteint 3.16 points.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le secteur est dans le rouge.,negatif
Le secteur est dans le rouge.,negatif
Le cours baisse de 2.78 euros.,negatif
Une perte de 9.6% est enregistrée.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le marché clôture en baisse.,negatif
"Le prix passe de 54.65€ à 46.6€, une baisse significative.",negatif
Forte baisse de la valeur aujourd'hui.,negatif
Une perte de 3.87% est enregistrée.,negatif
Le titre chute de 4.53%.,negatif
Une perte de 2.57% est enregistrée.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le marché clôture en baisse.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le cours baisse de 8.84 euros.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le marché subit une pression vendeuse.,negatif
Le secteur est dans le rouge.,negatif
Le secteur est dans le rouge.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le marché subit une pression vendeuse.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le cours baisse de 7.97 euros.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le marché clôture en baisse.,negatif
Une perte de 1.11% est enregistrée.,negatif
Le cours baisse de 5.99 euros.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le marché subit une pression vendeuse.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le recul atteint 9.54 points.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le marché subit une pression vendeuse.,negatif
"Le prix passe de 36.11€ à 31.46€, une baisse significative.",negatif
Le secteur est dans le rouge.,negatif
Une perte de 2.4% est enregistrée.,negatif
Le titre chute de 4.74%.,negatif
Le recul atteint 4.16 points.,negatif
"Le prix passe de 33.4€ à 20.07€, une baisse significative.",negatif
Le marché subit une pression vendeuse.,negatif
Le marché clôture en baisse.,negatif
Le cours baisse de 4.81 euros.,negatif
Le marché subit une pression vendeuse.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le marché subit une pression vendeuse.,negatif
Le cours baisse de 7.15 euros.,negatif
"Le prix passe de 42.99€ à 37.64€, une baisse significative.",negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le cours baisse de 4.97 euros.,negatif
Le secteur est dans le rouge.,negatif
"Le prix passe de 86.58€ à 78.27€, une baisse significative.",negatif
Les actions reculent suite aux inquiétudes.,negatif
Le marché clôture en baisse.,negatif
Le recul atteint 2.14 points.,negatif
"Le prix passe de 74.46€ à 67.06€, une baisse significative.",negatif
Le recul atteint 5.06 points.,negatif
Le secteur est dans le rouge.,negatif
"Le prix passe de 52.35€ à 37.58€, une baisse significative.",negatif
Le titre chute de 9.34%.,negatif
Le marché subit une pression vendeuse.,negatif
Le recul atteint 8.79 points.,negatif
Une perte de 4.03% est enregistrée.,negatif
Une perte de 9.53% est enregistrée.,negatif
Le secteur est dans le rouge.,negatif
Le recul atteint 9.27 points.,negatif
Le marché clôture en baisse.,negatif
Une perte de 0.6% est enregistrée.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le titre chute de 6.78%.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le cours baisse de 7.02 euros.,negatif
Le secteur est dans le rouge.,negatif
Le recul atteint 9.75 points.,negatif
Une perte de 7.62% est enregistrée.,negatif
Le recul atteint 4.45 points.,negatif
Le cours baisse de 8.97 euros.,negatif
Le titre chute de 1.68%.,negatif
Une perte de 2.84% est enregistrée.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le titre chute de 4.87%.,negatif
Le titre chute de 4.18%.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le marché subit une pression vendeuse.,negatif
Une perte de 2.57% est enregistrée.,negatif
Le recul atteint 3.0 points.,negatif
Les actions reculent suite aux inquiétudes.,negatif
"Le prix passe de 46.89€ à 35.84€, une baisse significative.",negatif
Le secteur est dans le rouge.,negatif
Le marché clôture en baisse.,negatif
Le marché subit une pression vendeuse.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le marché subit une pression vendeuse.,negatif
"Le prix passe de 50.46€ à 41.12€, une baisse significative.",negatif
Le marché clôture en baisse.,negatif
Le marché clôture en baisse.,negatif
Le cours baisse de 2.04 euros.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le titre chute de 4.89%.,negatif
"Le prix passe de 79.23€ à 68.42€, une baisse significative.",negatif
"Le prix passe de 87.13€ à 73.5€, une baisse significative.",negatif
Le secteur est dans le rouge.,negatif
Le marché subit une pression vendeuse.,negatif
Le titre chute de 5.55%.,negatif
Le secteur est dans le rouge.,negatif
Une perte de 3.51% est enregistrée.,negatif
Le titre chute de 3.74%.,negatif
Une perte de 8.72% est enregistrée.,negatif
Le marché subit une pression vendeuse.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le cours baisse de 0.89 euros.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le secteur est dans le rouge.,negatif
Le secteur est dans le rouge.,negatif
Le recul atteint 8.15 points.,negatif
Le cours baisse de 2.84 euros.,negatif
Le marché clôture en baisse.,negatif
Le marché clôture en baisse.,negatif
"Le prix passe de 79.21€ à 66.83€, une baisse significative.",negatif
Le marché clôture en baisse.,negatif
Le titre chute de 2.51%.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le secteur est dans le rouge.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le titre chute de 7.24%.,negatif
Le marché clôture en baisse.,negatif
Le marché clôture en baisse.,negatif
Une perte de 6.22% est enregistrée.,negatif
Le titre chute de 7.65%.,negatif
"Le prix passe de 81.91€ à 77.26€, une baisse significative.",negatif
Les actions reculent suite aux inquiétudes.,negatif
Une perte de 4.0% est enregistrée.,negatif
"Le prix passe de 21.28€ à 11.82€, une baisse significative.",negatif
Une perte de 2.2% est enregistrée.,negatif
Le marché subit une pression vendeuse.,negatif
Le titre chute de 4.91%.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le secteur est dans le rouge.,negatif
